itemID,title,author,publisher,main topic,subtopics
78384,Ice Cream for Breakfast,Casey Gillespie,Australian Publishing House,YFQ,[]
29948,The Princess and the Poem,Elisabeth De Duarte,Xlibris,YFJ,[]
21179,A Heat Wave in the Hellers,Deborah J. Ross,Trowbridge & Ross,FM,[]
39083,A Hold cirkusza,Sacheverell Black,Lulu.com,FMX,[]
3059,Night Games,Sue Mydliak,BLURB INC,FM,[FR]
29779,Poppy the Awesome Opossum and The Book of Runes,Julie Lebriton,O'Leary Publishing,YFJ,[1DN]
4089,Return to Anoria,Sharon Skinner,Brick Cave Books,YFH,[]
28853,The Railway Children (Illustrated): Adventure Classic,"Edith Nesbit, Charles E. Brock",E ARTNOW,YF,[]
47933,The Banner Boy Scouts Afloat,George A. Warren,Lector House,YFCF,[]
5255,Les mésaventures de Maman Opossum,Gina Gallois,Moonflower Press LLC,YFP,[]
44025,The The Folk of the Faraway Tree,Enid Blyton,Hachette Children's Group,YFA,"[5AF,4CD,YFC,YFH]"
35236,Monster Family's Little Troubles,Stanley N Otah,Jazzy Kitty Publications,YFJ,[]
36175,The Doom of Odin,Scott Oden,ST MARTINS PR,FMH,[FN]
37854,The Pirate,Galen Surlak-Ramsey,LIGHTNING SOURCE INC,FMK,[]
62993,Twisted Tales From The Universe: Large Print Hardcover Edition,Mari Collier,BLURB INC,FYB,"[FL,FM]"
63017,jamais seule,Marie Rousselet,Art en Mots,FL,[]
59985,Potty Time for Girls: Potty Training for Toddler Girls,Janelle McGuinness,LIGHTNING SOURCE INC,YF,[]
24686,Christmas coloring book for kids: 50 Holiday Unique Designs for Girls and Boys Ages 4-8; Beautiful P,Fuzz Harriete,LIGHTNING SOURCE INC,YBLJ,[]
42566,Between The Stars,Chelsea Girard,Pegasus Elliot Mackenzie Publishers,YFG,[]
55221,Molly,Barbara Yechton,ALPHA ED,YFA,[]
31015,The Jasmine Throne (Hardcover Library Edition),Tasha Suri,ORBIT,FMB,[FMH]
60331,Beyond,Mercedes Lackey,DAW BOOKS,FMB,[FMT]
49803,Stormy Fall,Betty Barclift,"Kregel Publications,U.S.",YF,[]
16585,"I'm A Boy, Oh Yes I Am",K. A. Farrell,LIGHTNING SOURCE INC,YFZR,[YXQ]
39076,A Shifter's Salvation,Marie Johnston,LE Publishing,FRT,[]
54338,The Bunny Story,Tracy Abney-Morrow,BOOKBABY,YFK,[]
45613,Duplicity,Darla Dunbar,Revelry Publishing,FRM,[]
56180,There it is! Da ist es!: A search and find book in English and German,Marta Almansa Esteva,THE LIFFEY PR,YBLD,[]
24218,McNelly's Marvels!,Suzie Griew,AUSTIN MACAULEY,YF,[]
62454,Children of Ice,Tristan Colt Cartwright,Tristan C. Cartwright,FMT,[]
56629,Guess Who's Coming to Santa's for Dinner?,Tomie Depaola,SIMON & SCHUSTER BOOKS YOU,YFA,"[5HPD,YFK]"
60588,Quantum Spacewalker,Grace S. Grose,Author Academy Elite,FJ,[FL]
38164,The Fractured Tower,Devin Hanson,Hudson Indie Ink,FM,[]
58561,SAVAGE,Vincent Muambi,Vincent Alexandre Publishing,FF,[FH]
22940,"Big Nate: Aloha!, Volume 25",Lincoln Peirce,ANDREWS & MCMEEL,YFQ,[]
53134,Teeka and Other Stories,Ferrell Rosser,iUniverse,DNT,[FM]
13180,The Sandstone Tower,Betty Swinford,CHRISTIAN FOCUS PUBN,YFCF,[YFK]
47098,The Ugly Duckling and Other Fairy Tales,Hans Christian Andersen,DOVER PUBN INC,YFA,[]
24002,"Gregory, Maw, and the Mean One",David Gifaldi,iUniverse,YFQ,[]
9612,Have You Ever Heard of Ed Buntin Town?,Robert Allen Shawhan,iUniverse,YFB,[YNM]
28515,Singing Innocence and Experience,Sonya Taaffe,Prime,FM,[]
30873,Eyes of the Storm (Bone #3),Jeff Smith,SCHOLASTIC,YFC,[YFH]
66224,Pageants of Despair,Dennis Hamley,"Paul Dry Books, Inc",YFH,[]
12640,Alfred Visits New York City,Eilizabeth O'Neill,Trafford Publishing,YNMK,[YFB]
21737,Ruby the Copycat,Peggy Rathmann,SCHOLASTIC,YXD,[YF]
33092,Little Miss Naughty and the Good Fairy,Roger Hargreaves,PRICE STERN SLOAN INC,YFQ,[]
23366,"Tom Sawyer, Detective by Mark Twain, Fiction, Classics","Mark Twain, Samuel Clemens",Aegypan,YFA,[]
62234,Washington Is Burning,Marty Rhodes Figley,FIRST AVENUE ED,YFT,[1KBB]
35048,My Weird School #17: Miss Suki Is Kooky!,Dan Gutman,HARPERCOLLINS,YFQ,[YFS]
70026,"Roughing It by Mark Twain, Fiction, Classics","Mark Twain, Samuel Clemens",Aegypan,YFA,[]
31439,Lunch Money,Andrew Clements,ALADDIN,YFQ,[YFS]
41090,For Money and Love,Todd Strasser,Simon Pulse,YFB,[YX]
77134,Roxie and the Hooligans,Phyllis Reynolds Naylor,ALADDIN,YFC,"[YFQ,YXQ]"
11485,Oxford First French Words,Neil Morris,Oxford University Press,YPCK,"[4Z-GB-ACF,2ADF]"
73789,The Fossil Girl,Catherine Brighton,Frances Lincoln Publishers Ltd,YFB,"[5AF,YNN]"
22775,The Uncommon Adventures Of Tucker O'Doyle,Jason Rider,Bellissima Publishing LLC,FMB,[]
47464,Wintersmith,Terry Pratchett,HARPERCOLLINS,YFC,[YFH]
8208,Wolfcry,Amelia Atwater-Rhodes,DELACORTE PR,YFH,[YFJ]
72826,Mandalas Weihnachten,Andreas Abato,Books on Demand,YFB,[]
45116,Oliver Moon's Christmas Cracker,Sue Mongredien,Usborne Publishing Ltd,YFB,[5AF]
10842,Scandalosa!,Michele Serros,Simon Pulse,YFB,[YX]
30239,Die Teddybärenbank,Thomas Feistauer,Books on Demand,FKW,[]
72607,Atalanta: The Race Against Destiny [a Greek Myth],Ron Fontes,GRAPHIC UNIVERSE,YFJ,[]
43672,Doppelganger,David Stahler,HarperTeen,YFH,[]
72088,Chemisch-Technologischer Robinson,Ernst August Geitner,UNIV OF MICHIGAN PR,FM,[]
14162,Harry Potter and the Half-Blood Prince,J. K. Rowling,TURTLEBACK BOOKS,YFQ,"[YFH,YFS]"
35752,Evermore: The Immortals,Alyson Noël,GRIFFIN,YFHR,[]
50039,Caillou: Hurry Up!,,CHOUETTE PUB,YFZZ,[]
34078,Adventures with Mama Scottie and The Kids,Elizabeth M. Scott,iUniverse,YFCA,[]
46634,In Justice's Shadow,Robert Alan,Virtualbookworm.com Publishing,FJ,[FL]
6741,Night of the Howling Dogs,Graham Salisbury,LAUREL LEAF LIB,YFC,[YFR]
31827,El Secreto del Doctor Givert,Agusti Alcoberro,BAMBU,YFC,[]
5844,Billy Bully: A School-Yard Counting Tale.,"Alvaro Galan, Ana Galan",CARTWHEEL BOOKS,YFQ,[]
29972,SOME LITTLE SECRETS,Taylor Rose Rusen,"Booklocker.com, Inc.",YFB,[YX]
54145,Mother Osprey: Nursery Rhymes for Buoys and Gulls,Lucy Nolan,ARBORDALE PUB,YFQ,"[1KBB,YFP]"
1460,Sock City,Barbara Batchelor,Xlibris,YFQ,[]
38964,"1001 Arabian Nights - The Complete Adventures of Sindbad, Aladdin and Ali Baba - Special Edition",Anonymous,EL PASO NORTE PR,YFJ,[]
5733,Wilde Stories 2009,,Lethe Press,DNT,[FL]
